Model,PartNumber,Date,Cycle Time
Switchback,47272463+C,2022-12-12 00:00:00,149.2080364
Switchback,47272463+C,2022-12-12 00:00:00,164.4028904
Switchback,47272463+C,2022-12-12 00:00:00,134.6185409
Switchback,47272463+C,2022-12-12 00:00:00,176.1631135
Switchback,47272463+C,2022-12-12 00:00:00,136.4407359
Switchback,47272463+C,2022-12-12 00:00:00,148.1215227
Switchback,47272463+C,2022-12-14 00:00:00,135.5999655
Switchback,47272463+C,2022-12-12 00:00:00,162.9443943
Switchback,47272463+C,2022-12-12 00:00:00,134.5578039
Switchback,47272463+C,2022-12-12 00:00:00,150.213485
Switchback,47272463+C,2022-12-12 00:00:00,138.2050385
Switchback,47272463+C,2022-12-12 00:00:00,135.8426571
Switchback,47272463+C,2022-12-12 00:00:00,149.6470354
Switchback,47272463+C,2022-12-12 00:00:00,150.2207556
Switchback,47272463+C,2022-12-12 00:00:00,137.1321204
Switchback,47272463+C,2022-12-12 00:00:00,139.1960275
Switchback,47272463+C,2022-12-12 00:00:00,134.6917355
Switchback,47272463+C,2022-12-12 00:00:00,150.9481542
Switchback,47272463+C,2022-12-12 00:00:00,134.9151201
Switchback,47272463+C,2022-12-12 00:00:00,138.7532202
Switchback,47272463+C,2022-12-12 00:00:00,136.7577677
Switchback,47272463+C,2022-12-12 00:00:00,134.6257881
Switchback,47272463+C,2022-12-12 00:00:00,135.577341
Switchback,47272463+C,2022-12-14 00:00:00,135.6186804
Switchback,47272463+C,2022-12-12 00:00:00,136.8970266
Switchback,47272463+C,2022-12-12 00:00:00,148.1399159
Switchback,47272463+C,2022-12-13 00:00:00,148.4269579
Switchback,47272463+C,2022-12-12 00:00:00,137.6995959
Switchback,47272463+C,2022-12-13 00:00:00,139.013812
Switchback,47272463+C,2022-12-13 00:00:00,136.1753888
Switchback,47272463+C,2022-12-13 00:00:00,174.0460722
Switchback,47272463+C,2022-12-12 00:00:00,137.3853549
Switchback,47272463+C,2022-12-13 00:00:00,133.8019412
Switchback,47272463+C,2022-12-13 00:00:00,149.899959
Switchback,47272463+C,2022-12-12 00:00:00,136.7736257
Switchback,47272463+C,2022-12-14 00:00:00,177.3992553
Switchback,47272463+C,2022-12-14 00:00:00,162.7804424
Switchback,47272463+C,2022-12-14 00:00:00,162.1540056
Switchback,47272463+C,2022-12-14 00:00:00,162.7443949
Switchback,47272463+C,2022-12-14 00:00:00,136.8452741
Switchback,47272463+C,2022-12-14 00:00:00,150.5099954
Switchback,47272463+C,2022-12-14 00:00:00,163.0017948
Switchback,47272463+C,2022-12-14 00:00:00,178.5213402
Switchback,47272463+C,2022-12-14 00:00:00,134.8878819
Switchback,47272463+C,2022-12-14 00:00:00,163.2446211
Switchback,47272463+C,2022-12-14 00:00:00,138.8263293
Switchback,47272463+C,2022-12-14 00:00:00,176.3789168
Switchback,47272463+C,2022-12-14 00:00:00,202.2473111
Switchback,47272463+C,2022-12-14 00:00:00,133.7817683
Switchback,47272463+C,2022-12-14 00:00:00,138.0195602
Switchback,47272463+C,2022-12-14 00:00:00,148.3954774
Switchback,47272463+C,2022-12-14 00:00:00,163.4121571
Switchback,47272463+C,2022-12-14 00:00:00,163.6113451
Switchback,47272463+C,2022-12-14 00:00:00,134.8508109
Switchback,47272463+C,2022-12-14 00:00:00,135.9919431
Switchback,47272463+C,2022-12-14 00:00:00,135.9427028
Switchback,47272463+C,2022-12-14 00:00:00,139.3348913
Switchback,47272463+C,2022-12-14 00:00:00,149.7296343
Switchback,47272463+C,2022-12-14 00:00:00,149.0432116
Switchback,47272463+C,2022-12-14 00:00:00,149.7008366
Switchback,47272463+C,2022-12-14 00:00:00,136.4300896
Switchback,47272463+C,2022-12-14 00:00:00,136.4119403
Switchback,47272463+C,2022-12-14 00:00:00,158.0604266
Switchback,47272463+C,2022-12-14 00:00:00,151.9061348
Switchback,47272463+C,2022-12-14 00:00:00,135.33562
Switchback,47272463+C,2022-12-14 00:00:00,137.2972841
Switchback,47272463+C,2022-12-14 00:00:00,176.2673779
Switchback,47272463+C,2022-12-14 00:00:00,133.7304913
Switchback,47272463+C,2022-12-14 00:00:00,135.0189647
Switchback,47272463+C,2022-12-14 00:00:00,136.104781
Switchback,47272463+C,2022-12-14 00:00:00,134.5828093
Switchback,47272463+C,2022-12-14 00:00:00,164.1029557
Switchback,47272463+C,2022-12-14 00:00:00,136.3739058
Switchback,47272463+C,2022-12-14 00:00:00,151.9562438
Switchback,47272463+C,2022-12-14 00:00:00,150.0862371
Switchback,47272463+C,2022-12-14 00:00:00,137.8877822
Switchback,47272463+C,2022-12-14 00:00:00,156.361281
Switchback,47272463+C,2022-12-14 00:00:00,136.2910688
Switchback,47272463+C,2022-12-14 00:00:00,133.9278604
Switchback,47272463+C,2022-12-14 00:00:00,139.9113921
Switchback,47272463+C,2022-12-14 00:00:00,135.8777466
Switchback,47272463+C,2022-12-14 00:00:00,134.5569697
Switchback,47272463+C,2022-12-14 00:00:00,163.93797
Switchback,47272463+C,2022-12-14 00:00:00,135.3229585
Switchback,47272463+C,2022-12-14 00:00:00,150.8149539
Switchback,47272463+C,2022-12-14 00:00:00,161.2226478
Switchback,47272463+C,2022-12-14 00:00:00,163.2303001
Switchback,47272463+C,2022-12-14 00:00:00,137.3833874
Switchback,47272463+C,2022-12-14 00:00:00,141.4974058
Switchback,47272463+C,2022-12-14 00:00:00,167.0646509
Switchback,47272463+C,2022-12-14 00:00:00,213.329267
Switchback,47272463+C,2022-12-14 00:00:00,139.7284221
Switchback,47272463+C,2022-12-14 00:00:00,149.1719636
Switchback,47272463+C,2022-12-14 00:00:00,162.7909186
Switchback,47272463+C,2022-12-14 00:00:00,136.6402766
Switchback,47272463+C,2022-12-14 00:00:00,150.9749075
Switchback,47272463+C,2022-12-14 00:00:00,153.5774548
Switchback,47272463+C,2022-12-14 00:00:00,201.0938031
Switchback,47272463+C,2022-12-14 00:00:00,138.3633276
Switchback,47272463+C,2022-12-14 00:00:00,135.5815857
Switchback,47272463+C,2022-12-14 00:00:00,168.8609352
Switchback,47272463+C,2022-12-14 00:00:00,137.4178489
Switchback,47272463+C,2022-12-14 00:00:00,155.4413119
Switchback,47272463+C,2022-12-14 00:00:00,139.692766
Switchback,47272463+C,2022-12-14 00:00:00,136.8251636
Switchback,47272463+C,2022-12-14 00:00:00,150.2964882
Switchback,47272463+C,2022-12-14 00:00:00,136.7322213
Switchback,47272463+C,2022-12-14 00:00:00,135.943924
